"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters"
"Dicranum scoparium",123134,"Dicranum scoparium",NA,"Plantae","Bryophyta","","","Bryopsida","","","Dicranales","","","","Dicranaceae","","","Dicranum","scoparium","iNat:2608937",48.928815,-123.465729,"2015-03-21",NA,NA,"Lauren Magner","false","research",98
"Leucolepis acanthoneura",120870,"Leucolepis acanthoneura",NA,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Leucolepis","acanthoneura","iNat:2608941",48.928815,-123.465729,"2015-03-21",NA,NA,"Lauren Magner","false","research",98
"Kindbergia praelonga",1122172,"Kindbergia praelonga",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Brachytheciaceae","","","Kindbergia","praelonga","iNat:2608983",48.93203,-123.474226,"2015-03-21",NA,NA,"Lauren Magner","false","research",174
"Polytrichum juniperinum",68286,"Polytrichum juniperinum",NA,"Plantae","Bryophyta","","","Polytrichopsida","","","Polytrichales","","","","Polytrichaceae","","","Polytrichum","juniperinum","iNat:2609010",48.93203,-123.474226,"2015-03-21",NA,NA,"Lauren Magner","false","research",174
"Syntrichia princeps",67915,"Syntrichia princeps",NA,"Plantae","Bryophyta","","","Bryopsida","","","Pottiales","","","","Pottiaceae","","","Syntrichia","princeps","iNat:2609301",48.930086,-123.475883,"2016-01-22",NA,NA,"Andrew Simon","false","research",174
"Bryopsida",48372,"Bryopsida",NA,"Plantae","Bryophyta","","","Bryopsida","","","","","","","","","","","","iNat:2615151",48.983273,-123.556452,"2016-01-24",NA,NA,"Lauren Magner","false","needs_id",61
"Hypnum circinale",125464,"Hypnum circinale",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hypnaceae","","","Hypnum","circinale","iNat:2615155",48.983273,-123.556452,"2016-01-24",NA,NA,"Lauren Magner","false","research",61
"Pleurozium schreberi",130677,"Pleurozium schreberi",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Pleurozium","schreberi","iNat:2615499",48.982327,-123.554492,"2016-01-24",NA,NA,"Andrew Simon","false","research",174
"Racomitrium",119160,"Racomitrium",NA,"Plantae","Bryophyta","","","Bryopsida","","","Grimmiales","","","","Grimmiaceae","","","Racomitrium","","iNat:2626809",48.863789,-123.365672,"2016-01-28",NA,NA,"Andrew Simon","false","needs_id",146
"Antitrichia californica",67846,"Antitrichia californica",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Antitrichiaceae","","","Antitrichia","californica","iNat:2626838",48.863484,-123.364835,"2016-01-28",NA,NA,"Andrew Simon","false","research",211
"Hylocomium splendens",122555,"Hylocomium splendens",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Hylocomium","splendens","iNat:2626843",48.873308,-123.358741,"2016-01-28",NA,NA,"Andrew Simon","false","research",174
"Hylocomiadelphus triquetrus",1138381,"Hylocomiadelphus triquetrus",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Hylocomiadelphus","triquetrus","iNat:2626844",48.873308,-123.358741,"2016-01-28",NA,NA,"Andrew Simon","false","research",174
"Pseudisothecium stoloniferum",1262643,"Pseudisothecium stoloniferum",NA,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Lembophyllaceae","","","Pseudisothecium","stoloniferum","iNat:2631341",48.870265,-123.346231,"2016-01-30",NA,NA,"Andrew Simon","false","research",116
"Atrichum selwynii",55331,"Atrichum selwynii",NA,"Plantae","Bryophyta","","","Polytrichopsida","","","Polytrichales","","","","Polytrichaceae","","","Atrichum","selwynii","iNat:2632385",48.931074,-123.478285,"2014-09-27",NA,NA,"Andrew Simon","false","research",43
"Atrichum",55334,"Atrichum",NA,"Plantae","Bryophyta","","","Polytrichopsida","","","Polytrichales","","","","Polytrichaceae","","","Atrichum","","iNat:2632389",48.931074,-123.478285,"2014-09-27",NA,NA,"Andrew Simon","false","needs_id",43
